X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.074195037600006,38.930636885,1838751,,,,,,,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,3119 38TH ST NW,MD,,221557,10125,393567,140308,2017-09-09T10:40:00.000Z
-77.071180983700003,38.926729150600003,1838752,,,,,,,P055,NO PARKING ANYTIME,3600 MASSACHUSETTS AV NW,DC,,262638,1497,393828,139874,2017-09-09T10:56:00.000Z
-77.056189034599996,38.927142694700002,1838753,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2813 28TH ST NW,DC,,220025,831,395128,139919,2017-09-11T09:27:00.000Z
-77.071577704,38.9198375398,1838754,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,VA,,275326,5695,393793,139109,2017-09-14T10:51:00.000Z
-77.071577704,38.9198375398,1838755,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,DC,,275326,5695,393793,139109,2017-09-14T10:55:00.000Z
-77.071577704,38.9198375398,1838756,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,MD,,275326,5695,393793,139109,2017-09-14T10:58:00.000Z
-77.071577704,38.9198375398,1838757,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,DC,,275326,5695,393793,139109,2017-09-14T11:00:00.000Z
-77.071577704,38.9198375398,1838758,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,FL,,275326,5695,393793,139109,2017-09-14T11:03:00.000Z
-77.071577704,38.9198375398,1838759,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,2226 WISCONSIN AV NW,VA,,275326,5695,393793,139109,2017-09-14T11:06:00.000Z
-77.039833098599999,38.901610777099997,1838544,,,,,,,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,0900 17TH ST NW,MD,,279977,3510,396545,137084,2017-09-12T16:47:00.000Z
-77.039833098599999,38.901610777099997,1838545,,,,,,,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,0900 17TH ST NW,MD,,279977,3510,396545,137084,2017-09-12T16:49:00.000Z
-76.952665024599995,38.886374824400001,1838618,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,240 37TH ST SE,VA,,150387,9208,404107,135393,2017-09-11T08:39:00.000Z
-76.950014664899996,38.885490898599997,1838619,,,,,,,P059,PARK IN A FIRE LANE,369 RIDGE RD SE,MD,,290738,218,404337,135295,2017-09-11T09:45:00.000Z
-76.951869627799994,38.886527641900003,1838620,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,221 37TH PL,DC,,289814,5722,404176,135410,2017-09-12T08:51:00.000Z
-76.951800392600006,38.886644722299998,1838621,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,219 37TH PL SE, ,,806671,5722,404182,135423,2017-09-12T09:12:00.000Z
-76.949714611900006,38.886031272899999,1838622,,,,,,,P198,PARK WITHIN 20 FEET OF A BUS STOP OR ZONE,155 RIDGE RD SE,DC,,286318,218,404363,135355,2017-09-12T12:31:00.000Z
-76.925479119200006,38.893657430899999,1838627,,,,,,,P041,PARK ON PRIVATE OR PUBLIC PROPERTY,5244 CLAY ST NE,DC,,148819,4206,406465,136203,2017-09-12T17:30:00.000Z
-77.018385511199995,38.883536318200001,1838636,,,,,,,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,401 E ST SW,MD,,309137,7767,398405,135077,2017-09-03T14:42:00.000Z
-77.030039529600003,38.887578666400003,1838105,,,,,,,P007,PARK IN A BUS ZONE,1300 INDEPENDENCE AV SW,PA,,815343,13240,397394,135526,2017-09-05T11:52:00.000Z
-77.030039529600003,38.887578666400003,1838106,,,,,,,P269,NO STANDING ANYTIME,1300 INDEPENDENCE AV SW,PA,,815343,13240,397394,135526,2017-09-05T11:52:00.000Z
-77.029969188,38.884759060699999,1838107,,,,,,,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,1300 D ST SW,VA,,315728,1533,397400,135213,2017-09-08T10:52:00.000Z
-77.029969188,38.884759060699999,1838108,,,,,,,P035,NOT PARKED IN A METER SPACE,1300 D ST SW,VA,,315728,1533,397400,135213,2017-09-08T10:52:00.000Z
-77.034033520799994,38.900009122699998,1838136,,,,,,,P007,PARK IN A BUS ZONE,1500 H ST NW,MD,,218299,7099,397048,136906,2017-09-03T16:35:00.000Z
-77.034033520799994,38.900009122699998,1838137,,,,,,,P007,PARK IN A BUS ZONE,1500 H ST NW,FL,,218299,7099,397048,136906,2017-09-03T16:37:00.000Z
-77.038379684500001,38.900070834099999,1838138,,,,,,,P007,PARK IN A BUS ZONE,1600 H ST NW,NY,,310845,7242,396671,136913,2017-09-03T16:43:00.000Z
-77.034033520799994,38.900009122699998,1838139,,,,,,,P007,PARK IN A BUS ZONE,1500 H ST NW,PA,,218299,7099,397048,136906,2017-09-09T16:50:00.000Z
-77.021914715600005,38.891318950200002,1839856,,,,,,,P269,NO STANDING ANYTIME,200 7TH ST NW,DC,,800112,94,398099,135941,2017-09-10T16:06:00.000Z
-77.031959846099994,38.9031356088,1839857,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,1000 14TH ST NW,MD,,804807,4141,397228,137253,2017-09-14T08:30:00.000Z
-77.031959846099994,38.9031356088,1839858,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,1000 14TH ST NW,MD,,804807,4141,397228,137253,2017-09-14T08:31:00.000Z
